Товар/послуга,Вартість,Всього,КП,"Логістика, документи, послуги","Монтаж, установка",Оплата в Україні чи закордоном,Постачальник,Предоплата,Термін виготовлення,Тип закупівлі
"Меблі для зали (дивани, столи, дровери, двері, декоративні стіни, вазони)",88050 євро,114576 євро,"%D0%91%D1%8E%D0%B4%D0%B6%D0%B5%D1%82%20%D0%9A%D0%B0%D1%88%D0%BA%D0%B0%D0%B9%D1%88/%D0%97%D0%B0%D0%BA%D1%83%D0%BF%D1%96%D0%B2%D0%BB%D1%96%20%D0%9A%D0%B0%D1%88%D0%BA%D0%B0%D0%B9%D1%88/%D0%9C%D0%B5%D0%B1%D0%BB%D1%96%20%D0%B4%D0%BB%D1%8F%20%D0%B7%D0%B0%D0%BB%D0%B8%20(%D0%B4%D0%B8%D0%B2%D0%B0%D0%BD%D0%B8,%20%D1%81%D1%82%D0%BE%D0%BB%D0%B8,%20%D0%B4%D1%80%D0%BE%D0%B2%D0%B5%D1%80%D0%B8,%20%D0%B4%D0%B2%D0%B5%D1%80%D1%96,%20%D0%B4%D0%B5%D0%BA/%D0%9A%D0%9F_NAI_%D0%9F%D0%BE%D1%80%D1%82%D1%83%D0%B3%D0%B0%D0%BB%D1%96%D1%8F_14.02.pdf",10335 євро,16186 євро (можна обрати варіант),Можна платити 65% в Україні і 35% безнал офіційно з Португалії (для митниці),Верді,70%,60 робочих днів,Меблі та декор
Будівництво,90000 євро,,%D0%91%D1%8E%D0%B4%D0%B6%D0%B5%D1%82%20%D0%9A%D0%B0%D1%88%D0%BA%D0%B0%D0%B9%D1%88/%D0%97%D0%B0%D0%BA%D1%83%D0%BF%D1%96%D0%B2%D0%BB%D1%96%20%D0%9A%D0%B0%D1%88%D0%BA%D0%B0%D0%B9%D1%88/%D0%91%D1%83%D0%B4%D1%96%D0%B2%D0%BD%D0%B8%D1%86%D1%82%D0%B2%D0%BE/%D0%A0%D0%B5%D1%81%D1%82%D0%BE%D1%80%D0%B0%D0%BD_%D1%80%D0%B0%D1%81%D1%87%D0%B5%D1%82.xlsx_-_%D0%9B%D0%B8%D1%81%D1%821_(3).pdf,,,Португалія,Hábitos Prováveis,"30% на початку місяця за роботи, згідно календарного плану",,Будівництво
Матеріали для будівництва,22943 євро,,%D0%91%D1%8E%D0%B4%D0%B6%D0%B5%D1%82%20%D0%9A%D0%B0%D1%88%D0%BA%D0%B0%D0%B9%D1%88/%D0%97%D0%B0%D0%BA%D1%83%D0%BF%D1%96%D0%B2%D0%BB%D1%96%20%D0%9A%D0%B0%D1%88%D0%BA%D0%B0%D0%B9%D1%88/%D0%9C%D0%B0%D1%82%D0%B5%D1%80%D1%96%D0%B0%D0%BB%D0%B8%20%D0%B4%D0%BB%D1%8F%20%D0%B1%D1%83%D0%B4%D1%96%D0%B2%D0%BD%D0%B8%D1%86%D1%82%D0%B2%D0%B0/%D0%A0%D0%B5%D1%81%D1%82%D0%BE%D1%80%D0%B0%D0%BD_%D1%80%D0%B0%D1%81%D1%87%D0%B5%D1%82.xlsx_-_%D0%9B%D0%B8%D1%81%D1%821_(3).pdf,,,Португалія,Hábitos Prováveis,,,Будівництво
ОПЛАЧЕНО! Обладнання,94610 євро,,"%D0%91%D1%8E%D0%B4%D0%B6%D0%B5%D1%82%20%D0%9A%D0%B0%D1%88%D0%BA%D0%B0%D0%B9%D1%88/%D0%97%D0%B0%D0%BA%D1%83%D0%BF%D1%96%D0%B2%D0%BB%D1%96%20%D0%9A%D0%B0%D1%88%D0%BA%D0%B0%D0%B9%D1%88/%D0%9E%D0%9F%D0%9B%D0%90%D0%A7%D0%95%D0%9D%D0%9E!%20%D0%9E%D0%B1%D0%BB%D0%B0%D0%B4%D0%BD%D0%B0%D0%BD%D0%BD%D1%8F/NAI_%D0%BF%D1%80%D0%B0%D0%B2%D0%BA%D0%B8_18_02_%D0%A1%D0%9F%D0%95%D0%A6%D0%98%D0%A4%D0%86%D0%9A%D0%90%D0%A6%D0%86%D0%AF_%D0%9E%D0%91%D0%9B%D0%90%D0%94%D0%9D%D0%90%D0%9D%D0%9D%D0%AF_(1).xls, %D0%91%D1%8E%D0%B4%D0%B6%D0%B5%D1%82%20%D0%9A%D0%B0%D1%88%D0%BA%D0%B0%D0%B9%D1%88/%D0%97%D0%B0%D0%BA%D1%83%D0%BF%D1%96%D0%B2%D0%BB%D1%96%20%D0%9A%D0%B0%D1%88%D0%BA%D0%B0%D0%B9%D1%88/%D0%9E%D0%9F%D0%9B%D0%90%D0%A7%D0%95%D0%9D%D0%9E!%20%D0%9E%D0%B1%D0%BB%D0%B0%D0%B4%D0%BD%D0%B0%D0%BD%D0%BD%D1%8F/%D0%94%D0%9E%D0%93%D0%9E%D0%92%D0%86%D0%A0_%D0%BE%D0%B1%D0%BB%D0%B0%D0%B4%D0%BD%D0%B0%D0%BD%D0%BD%D1%8F_15_07_2025_%D0%9F%D0%BE%D1%80%D1%82%D1%83%D0%B3%D0%B0%D0%BB%D1%96%D1%8F_doc.doc",3000 євро,2200 євро,"Офіційно (неважливо звідки, по рахунку, Веземо з Європи, краще поставити на баланс португальської компанії)",Ольга Метсейл,внесено,,Обладнання
ОПЛАЧЕНО! Нержавійка (меблі для кухні),16240 євро,,"%D0%91%D1%8E%D0%B4%D0%B6%D0%B5%D1%82%20%D0%9A%D0%B0%D1%88%D0%BA%D0%B0%D0%B9%D1%88/%D0%97%D0%B0%D0%BA%D1%83%D0%BF%D1%96%D0%B2%D0%BB%D1%96%20%D0%9A%D0%B0%D1%88%D0%BA%D0%B0%D0%B9%D1%88/%D0%9E%D0%9F%D0%9B%D0%90%D0%A7%D0%95%D0%9D%D0%9E!%20%D0%9D%D0%B5%D1%80%D0%B6%D0%B0%D0%B2%D1%96%D0%B9%D0%BA%D0%B0%20(%D0%BC%D0%B5%D0%B1%D0%BB%D1%96%20%D0%B4%D0%BB%D1%8F%20%D0%BA%D1%83%D1%85%D0%BD%D1%96)/NAI_%D0%A1%D0%9F%D0%95%D0%A6%D0%98%D0%A4%D0%86%D0%9A%D0%90%D0%A6%D0%86%D0%AF_%D0%9E%D0%91%D0%9B%D0%90%D0%94%D0%9D%D0%90%D0%9D%D0%9D%D0%AF%D0%9A%D0%9F_31_01_25.xls, %D0%91%D1%8E%D0%B4%D0%B6%D0%B5%D1%82%20%D0%9A%D0%B0%D1%88%D0%BA%D0%B0%D0%B9%D1%88/%D0%97%D0%B0%D0%BA%D1%83%D0%BF%D1%96%D0%B2%D0%BB%D1%96%20%D0%9A%D0%B0%D1%88%D0%BA%D0%B0%D0%B9%D1%88/%D0%9E%D0%9F%D0%9B%D0%90%D0%A7%D0%95%D0%9D%D0%9E!%20%D0%9D%D0%B5%D1%80%D0%B6%D0%B0%D0%B2%D1%96%D0%B9%D0%BA%D0%B0%20(%D0%BC%D0%B5%D0%B1%D0%BB%D1%96%20%D0%B4%D0%BB%D1%8F%20%D0%BA%D1%83%D1%85%D0%BD%D1%96)/%D0%94%D0%9E%D0%93%D0%9E%D0%92%D0%86%D0%A0_15_07_2025_%D0%9F%D0%BE%D1%80%D1%82%D1%83%D0%B3%D0%B0%D0%BB%D1%96%D1%8F_%D0%BD%D0%B5%D1%80%D0%B6%D0%B0%D0%B2%D1%96%D0%B8%D0%BA%D0%B0_doc.doc",,900 євро,"Офіційно (неважливо звідки, по рахунку, Веземо з України, краще поставити на баланс португальської компанії)",Ольга Метсейл,внесено,,Обладнання
Скляні вази,1755 $,,%D0%91%D1%8E%D0%B4%D0%B6%D0%B5%D1%82%20%D0%9A%D0%B0%D1%88%D0%BA%D0%B0%D0%B9%D1%88/%D0%97%D0%B0%D0%BA%D1%83%D0%BF%D1%96%D0%B2%D0%BB%D1%96%20%D0%9A%D0%B0%D1%88%D0%BA%D0%B0%D0%B9%D1%88/%D0%A1%D0%BA%D0%BB%D1%8F%D0%BD%D1%96%20%D0%B2%D0%B0%D0%B7%D0%B8/NNZVIR_VASES.pdf,самостійно з України,,"1. Ми виготовляємо тільки під замовлення.
2. Термін на виготовлення до 3х місяців так як в нас зараз повна загрузка.
3. Рахунок до оплати вказано вірно при можливості аванс попросимо розбити на 2 платежі так як це не є картка ФОП а особистий рахунок.
Якщо ви Хочете оплатити через ФОП то це ще +8% до загальної вартості замовлення. ",ZVIR,70%,3 місяці,Меблі та декор
Стільці в зал,"13332,57 євро","15332,57 євро",%D0%91%D1%8E%D0%B4%D0%B6%D0%B5%D1%82%20%D0%9A%D0%B0%D1%88%D0%BA%D0%B0%D0%B9%D1%88/%D0%97%D0%B0%D0%BA%D1%83%D0%BF%D1%96%D0%B2%D0%BB%D1%96%20%D0%9A%D0%B0%D1%88%D0%BA%D0%B0%D0%B9%D1%88/%D0%A1%D1%82%D1%96%D0%BB%D1%8C%D1%86%D1%96%20%D0%B2%20%D0%B7%D0%B0%D0%BB/INVOICE_NAI_Cascais_22.07.2025.pdf,2000 євро,,"Офіційно (неважливо звідки, по рахунку, Веземо з Європи, краще поставити на баланс португальської компанії)",MAYER HORECA,50%,2 місяці,Меблі та декор
Лампи декоративні із біоплатика,10950 євро,,%D0%91%D1%8E%D0%B4%D0%B6%D0%B5%D1%82%20%D0%9A%D0%B0%D1%88%D0%BA%D0%B0%D0%B9%D1%88/%D0%97%D0%B0%D0%BA%D1%83%D0%BF%D1%96%D0%B2%D0%BB%D1%96%20%D0%9A%D0%B0%D1%88%D0%BA%D0%B0%D0%B9%D1%88/%D0%9B%D0%B0%D0%BC%D0%BF%D0%B8%20%D0%B4%D0%B5%D0%BA%D0%BE%D1%80%D0%B0%D1%82%D0%B8%D0%B2%D0%BD%D1%96%20%D1%96%D0%B7%20%D0%B1%D1%96%D0%BE%D0%BF%D0%BB%D0%B0%D1%82%D0%B8%D0%BA%D0%B0/INVOICE-SERENATA-074-2025-001.pdf,прорахують окремо,,"Веземо з Нідерландів, краще поставити на баланс португальської компанії)",Arumo,,3 місяці,Меблі та декор
Форма для персоналу,9940 євро,,%D0%91%D1%8E%D0%B4%D0%B6%D0%B5%D1%82%20%D0%9A%D0%B0%D1%88%D0%BA%D0%B0%D0%B9%D1%88/%D0%97%D0%B0%D0%BA%D1%83%D0%BF%D1%96%D0%B2%D0%BB%D1%96%20%D0%9A%D0%B0%D1%88%D0%BA%D0%B0%D0%B9%D1%88/%D0%A4%D0%BE%D1%80%D0%BC%D0%B0%20%D0%B4%D0%BB%D1%8F%20%D0%BF%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%BB%D1%83/invoice.docx,самостійно з України,,,Рожко,70%,2 місяці,Меблі та декор
"Декор - 4 абажура, 2 набора ваз, по 5 ваз та коник (виготовляють крафтові майстри)","247800 грн ",,"%D0%91%D1%8E%D0%B4%D0%B6%D0%B5%D1%82%20%D0%9A%D0%B0%D1%88%D0%BA%D0%B0%D0%B9%D1%88/%D0%97%D0%B0%D0%BA%D1%83%D0%BF%D1%96%D0%B2%D0%BB%D1%96%20%D0%9A%D0%B0%D1%88%D0%BA%D0%B0%D0%B9%D1%88/%D0%94%D0%B5%D0%BA%D0%BE%D1%80%20-%204%20%D0%B0%D0%B1%D0%B0%D0%B6%D1%83%D1%80%D0%B0,%202%20%D0%BD%D0%B0%D0%B1%D0%BE%D1%80%D0%B0%20%D0%B2%D0%B0%D0%B7,%20%D0%BF%D0%BE%205%20%D0%B2%D0%B0%D0%B7%20%D1%82%D0%B0%20%D0%BA%D0%BE%D0%BD%D0%B8%D0%BA/%D0%A0%D0%B0%D1%85%D1%83%D0%BD%D0%BE%D0%BA_Nai_4.03.25..pdf",самостійно з України,,,Майстерня,100%,"2,5 місяці",Меблі та декор
